date,embalse_codigo,embalse_nombre,embalse_provincia,embalse_reserva,embalse_porcentaje,meteo_temp_max,meteo_temp_min,meteo_temp_media,meteo_humedad_max,meteo_humedad_min,meteo_humedad_media,meteo_vel_viento,meteo_vel_viento_max,meteo_dir_viento,meteo_radiacion,meteo_precipitacion,num_estaciones_promediadas,estaciones_usadas
2000-11-23,S16,CONCEPCION,MALAGA,39.796,64,17.7,12.3,15.4,96.1,48.4,80.5,4.2,11.9,224.5,3.4,33.6,3,"MA04, MA09, MA08"
2000-11-24,S16,CONCEPCION,MALAGA,39.965,65,19.1,8.9,13.7,90.2,24.7,67.2,2.9,9.5,224.4,7.6,1.8,3,"MA04, MA09, MA08"
2000-11-25,S16,CONCEPCION,MALAGA,40.032,65,20.0,15.9,17.2,94.1,71.1,84.1,3.8,8.9,216.8,4.7,0.8,3,"MA04, MA09, MA08"
2000-11-26,S16,CONCEPCION,MALAGA,40.032,65,22.9,15.2,19.1,91.0,52.0,71.0,2.4,9.5,221.9,11.1,0.0,3,"MA04, MA09, MA08"
2000-11-27,S16,CONCEPCION,MALAGA,40.032,65,22.6,13.8,17.0,90.4,61.2,78.5,0.8,3.2,217.4,11.3,0.0,3,"MA04, MA09, MA08"
2000-11-28,S16,CONCEPCION,MALAGA,40.015,65,19.6,11.9,14.6,99.4,64.8,85.8,0.9,3.7,119.6,9.0,0.0,3,"MA04, MA09, MA08"
2000-11-29,S16,CONCEPCION,MALAGA,39.965,65,17.9,11.7,14.2,99.6,60.4,82.2,2.5,11.4,216.6,7.7,14.4,3,"MA04, MA09, MA08"
2000-11-30,S16,CONCEPCION,MALAGA,39.965,65,17.6,10.8,13.5,93.4,67.9,82.1,0.8,3.3,185.3,8.6,0.0,3,"MA04, MA09, MA08"
2000-12-01,S16,CONCEPCION,MALAGA,39.931,65,16.1,10.2,13.9,99.1,71.9,89.8,1.6,6.7,226.9,1.1,14.2,3,"MA04, MA09, MA08"
2000-12-02,S16,CONCEPCION,MALAGA,39.965,65,18.7,11.6,15.3,90.1,51.7,70.1,3.0,9.2,225.4,9.2,1.2,3,"MA04, MA09, MA08"
