"#datatype measurement,tag,tag,field,field,timestamp"
measurement,codigo,nombre,reserva,porcentaje,timestamp
embalses,S31,CONDE DE GUADALHORCE,20.63,31,2000-01-01T00:00:00Z
embalses,S31,CONDE DE GUADALHORCE,20.76,31,2000-01-02T00:00:00Z
embalses,S31,CONDE DE GUADALHORCE,20.88,31,2000-01-03T00:00:00Z
embalses,S31,CONDE DE GUADALHORCE,20.98,32,2000-01-04T00:00:00Z
embalses,S31,CONDE DE GUADALHORCE,21.09,32,2000-01-05T00:00:00Z
embalses,S31,CONDE DE GUADALHORCE,21.19,32,2000-01-06T00:00:00Z
embalses,S31,CONDE DE GUADALHORCE,21.24,32,2000-01-07T00:00:00Z
embalses,S31,CONDE DE GUADALHORCE,21.29,32,2000-01-08T00:00:00Z
embalses,S31,CONDE DE GUADALHORCE,21.37,32,2000-01-09T00:00:00Z
embalses,S31,CONDE DE GUADALHORCE,21.44,32,2000-01-10T00:00:00Z
embalses,S31,CONDE DE GUADALHORCE,21.5,32,2000-01-11T00:00:00Z
embalses,S31,CONDE DE GUADALHORCE,21.57,32,2000-01-12T00:00:00Z
embalses,S31,CONDE DE GUADALHORCE,21.7,33,2000-01-13T00:00:00Z
embalses,S31,CONDE DE GUADALHORCE,21.86,33,2000-01-14T00:00:00Z
embalses,S31,CONDE DE GUADALHORCE,22.02,33,2000-01-15T00:00:00Z
embalses,S31,CONDE DE GUADALHORCE,22.23,33,2000-01-16T00:00:00Z
embalses,S31,CONDE DE GUADALHORCE,22.52,34,2000-01-17T00:00:00Z
embalses,S31,CONDE DE GUADALHORCE,23.78,36,2000-01-18T00:00:00Z
embalses,S31,CONDE DE GUADALHORCE,24.32,37,2000-01-19T00:00:00Z
embalses,S31,CONDE DE GUADALHORCE,24.63,37,2000-01-20T00:00:00Z
embalses,S31,CONDE DE GUADALHORCE,24.85,37,2000-01-21T00:00:00Z
embalses,S31,CONDE DE GUADALHORCE,25.05,38,2000-01-22T00:00:00Z
embalses,S31,CONDE DE GUADALHORCE,25.19,38,2000-01-23T00:00:00Z
embalses,S31,CONDE DE GUADALHORCE,25.33,38,2000-01-24T00:00:00Z
embalses,S31,CONDE DE GUADALHORCE,25.44,38,2000-01-25T00:00:00Z
embalses,S31,CONDE DE GUADALHORCE,25.58,38,2000-01-26T00:00:00Z
embalses,S31,CONDE DE GUADALHORCE,27.26,41,2000-01-27T00:00:00Z
embalses,S31,CONDE DE GUADALHORCE,28.06,42,2000-01-28T00:00:00Z
embalses,S31,CONDE DE GUADALHORCE,28.44,43,2000-01-29T00:00:00Z
embalses,S31,CONDE DE GUADALHORCE,28.71,43,2000-01-30T00:00:00Z
embalses,S31,CONDE DE GUADALHORCE,28.96,44,2000-01-31T00:00:00Z
embalses,S31,CONDE DE GUADALHORCE,28.84,43,2000-02-01T00:00:00Z
embalses,S31,CONDE DE GUADALHORCE,28.93,44,2000-02-02T00:00:00Z
embalses,S31,CONDE DE GUADALHORCE,28.96,44,2000-02-03T00:00:00Z
embalses,S31,CONDE DE GUADALHORCE,28.99,44,2000-02-04T00:00:00Z
embalses,S31,CONDE DE GUADALHORCE,29.02,44,2000-02-05T00:00:00Z
embalses,S31,CONDE DE GUADALHORCE,28.99,44,2000-02-06T00:00:00Z
embalses,S31,CONDE DE GUADALHORCE,28.99,44,2000-02-07T00:00:00Z
embalses,S31,CONDE DE GUADALHORCE,28.96,44,2000-02-08T00:00:00Z
embalses,S31,CONDE DE GUADALHORCE,29.05,44,2000-02-09T00:00:00Z
embalses,S31,CONDE DE GUADALHORCE,29.11,44,2000-02-10T00:00:00Z
embalses,S31,CONDE DE GUADALHORCE,29.2,44,2000-02-11T00:00:00Z
embalses,S31,CONDE DE GUADALHORCE,29.29,44,2000-02-12T00:00:00Z
embalses,S31,CONDE DE GUADALHORCE,29.35,44,2000-02-13T00:00:00Z
embalses,S31,CONDE DE GUADALHORCE,29.38,44,2000-02-14T00:00:00Z
embalses,S31,CONDE DE GUADALHORCE,29.44,44,2000-02-15T00:00:00Z
embalses,S31,CONDE DE GUADALHORCE,29.5,44,2000-02-16T00:00:00Z
embalses,S31,CONDE DE GUADALHORCE,29.56,44,2000-02-17T00:00:00Z
embalses,S31,CONDE DE GUADALHORCE,29.59,44,2000-02-18T00:00:00Z
embalses,S31,CONDE DE GUADALHORCE,29.66,45,2000-02-19T00:00:00Z
embalses,S31,CONDE DE GUADALHORCE,29.69,45,2000-02-20T00:00:00Z
embalses,S31,CONDE DE GUADALHORCE,29.72,45,2000-02-21T00:00:00Z
embalses,S31,CONDE DE GUADALHORCE,29.75,45,2000-02-22T00:00:00Z
embalses,S31,CONDE DE GUADALHORCE,29.78,45,2000-02-23T00:00:00Z
embalses,S31,CONDE DE GUADALHORCE,29.84,45,2000-02-24T00:00:00Z
embalses,S31,CONDE DE GUADALHORCE,29.87,45,2000-02-25T00:00:00Z
embalses,S31,CONDE DE GUADALHORCE,29.9,45,2000-02-26T00:00:00Z
embalses,S31,CONDE DE GUADALHORCE,29.93,45,2000-02-27T00:00:00Z
embalses,S31,CONDE DE GUADALHORCE,29.93,45,2000-02-28T00:00:00Z
embalses,S31,CONDE DE GUADALHORCE,29.96,45,2000-02-29T00:00:00Z
embalses,S31,CONDE DE GUADALHORCE,29.99,45,2000-03-01T00:00:00Z
embalses,S31,CONDE DE GUADALHORCE,29.99,45,2000-03-02T00:00:00Z
embalses,S31,CONDE DE GUADALHORCE,30.02,45,2000-03-03T00:00:00Z
