"#datatype measurement,tag,tag,field,field,timestamp"
measurement,codigo,nombre,reserva,porcentaje,timestamp
embalses,S30,GUADALHORCE,80.33,64,2000-01-01T00:00:00Z
embalses,S30,GUADALHORCE,80.59,64,2000-01-02T00:00:00Z
embalses,S30,GUADALHORCE,80.8,64,2000-01-03T00:00:00Z
embalses,S30,GUADALHORCE,80.9,64,2000-01-04T00:00:00Z
embalses,S30,GUADALHORCE,81.16,65,2000-01-05T00:00:00Z
embalses,S30,GUADALHORCE,81.31,65,2000-01-06T00:00:00Z
embalses,S30,GUADALHORCE,81.47,65,2000-01-07T00:00:00Z
embalses,S30,GUADALHORCE,81.68,65,2000-01-08T00:00:00Z
embalses,S30,GUADALHORCE,81.83,65,2000-01-09T00:00:00Z
embalses,S30,GUADALHORCE,81.94,65,2000-01-10T00:00:00Z
embalses,S30,GUADALHORCE,82.1,65,2000-01-11T00:00:00Z
embalses,S30,GUADALHORCE,82.2,65,2000-01-12T00:00:00Z
embalses,S30,GUADALHORCE,82.31,65,2000-01-13T00:00:00Z
embalses,S30,GUADALHORCE,82.41,66,2000-01-14T00:00:00Z
embalses,S30,GUADALHORCE,82.52,66,2000-01-15T00:00:00Z
embalses,S30,GUADALHORCE,82.73,66,2000-01-16T00:00:00Z
embalses,S30,GUADALHORCE,82.78,66,2000-01-17T00:00:00Z
embalses,S30,GUADALHORCE,82.94,66,2000-01-18T00:00:00Z
embalses,S30,GUADALHORCE,83.09,66,2000-01-19T00:00:00Z
embalses,S30,GUADALHORCE,83.15,66,2000-01-20T00:00:00Z
embalses,S30,GUADALHORCE,83.2,66,2000-01-21T00:00:00Z
embalses,S30,GUADALHORCE,83.31,66,2000-01-22T00:00:00Z
embalses,S30,GUADALHORCE,83.41,66,2000-01-23T00:00:00Z
embalses,S30,GUADALHORCE,83.41,66,2000-01-24T00:00:00Z
embalses,S30,GUADALHORCE,83.57,66,2000-01-25T00:00:00Z
embalses,S30,GUADALHORCE,83.68,67,2000-01-26T00:00:00Z
embalses,S30,GUADALHORCE,83.94,67,2000-01-27T00:00:00Z
embalses,S30,GUADALHORCE,84.05,67,2000-01-28T00:00:00Z
embalses,S30,GUADALHORCE,84.16,67,2000-01-29T00:00:00Z
embalses,S30,GUADALHORCE,84.21,67,2000-01-30T00:00:00Z
embalses,S30,GUADALHORCE,84.26,67,2000-01-31T00:00:00Z
embalses,S30,GUADALHORCE,84.37,67,2000-02-01T00:00:00Z
embalses,S30,GUADALHORCE,84.42,67,2000-02-02T00:00:00Z
embalses,S30,GUADALHORCE,84.53,67,2000-02-03T00:00:00Z
embalses,S30,GUADALHORCE,84.58,67,2000-02-04T00:00:00Z
embalses,S30,GUADALHORCE,84.64,67,2000-02-05T00:00:00Z
embalses,S30,GUADALHORCE,84.69,67,2000-02-06T00:00:00Z
embalses,S30,GUADALHORCE,84.8,67,2000-02-07T00:00:00Z
embalses,S30,GUADALHORCE,84.85,68,2000-02-08T00:00:00Z
embalses,S30,GUADALHORCE,84.9,68,2000-02-09T00:00:00Z
embalses,S30,GUADALHORCE,84.9,68,2000-02-10T00:00:00Z
embalses,S30,GUADALHORCE,84.96,68,2000-02-11T00:00:00Z
embalses,S30,GUADALHORCE,85.01,68,2000-02-12T00:00:00Z
embalses,S30,GUADALHORCE,85.06,68,2000-02-13T00:00:00Z
embalses,S30,GUADALHORCE,85.12,68,2000-02-14T00:00:00Z
embalses,S30,GUADALHORCE,85.12,68,2000-02-15T00:00:00Z
embalses,S30,GUADALHORCE,85.12,68,2000-02-16T00:00:00Z
embalses,S30,GUADALHORCE,85.12,68,2000-02-17T00:00:00Z
embalses,S30,GUADALHORCE,85.17,68,2000-02-18T00:00:00Z
embalses,S30,GUADALHORCE,85.17,68,2000-02-19T00:00:00Z
embalses,S30,GUADALHORCE,85.17,68,2000-02-20T00:00:00Z
embalses,S30,GUADALHORCE,85.17,68,2000-02-21T00:00:00Z
embalses,S30,GUADALHORCE,85.17,68,2000-02-22T00:00:00Z
embalses,S30,GUADALHORCE,85.23,68,2000-02-23T00:00:00Z
embalses,S30,GUADALHORCE,85.23,68,2000-02-24T00:00:00Z
embalses,S30,GUADALHORCE,85.23,68,2000-02-25T00:00:00Z
embalses,S30,GUADALHORCE,85.23,68,2000-02-26T00:00:00Z
embalses,S30,GUADALHORCE,85.17,68,2000-02-27T00:00:00Z
embalses,S30,GUADALHORCE,85.17,68,2000-02-28T00:00:00Z
embalses,S30,GUADALHORCE,85.12,68,2000-02-29T00:00:00Z
embalses,S30,GUADALHORCE,85.12,68,2000-03-01T00:00:00Z
embalses,S30,GUADALHORCE,85.12,68,2000-03-02T00:00:00Z
embalses,S30,GUADALHORCE,85.06,68,2000-03-03T00:00:00Z
embalses,S30,GUADALHORCE,85.01,68,2000-03-04T00:00:00Z
embalses,S30,GUADALHORCE,85.01,68,2000-03-05T00:00:00Z
embalses,S30,GUADALHORCE,85.01,68,2000-03-06T00:00:00Z
