"#datatype measurement,tag,tag,field,field,timestamp"
measurement,codigo,nombre,reserva,porcentaje,timestamp
embalses,S29,GUADALTEBA,74.83,49,2000-01-01T00:00:00Z
embalses,S29,GUADALTEBA,74.98,49,2000-01-02T00:00:00Z
embalses,S29,GUADALTEBA,75.07,49,2000-01-03T00:00:00Z
embalses,S29,GUADALTEBA,75.21,49,2000-01-04T00:00:00Z
embalses,S29,GUADALTEBA,75.31,49,2000-01-05T00:00:00Z
embalses,S29,GUADALTEBA,75.45,49,2000-01-06T00:00:00Z
embalses,S29,GUADALTEBA,75.59,49,2000-01-07T00:00:00Z
embalses,S29,GUADALTEBA,75.54,49,2000-01-08T00:00:00Z
embalses,S29,GUADALTEBA,75.64,49,2000-01-09T00:00:00Z
embalses,S29,GUADALTEBA,75.68,49,2000-01-10T00:00:00Z
embalses,S29,GUADALTEBA,75.78,49,2000-01-11T00:00:00Z
embalses,S29,GUADALTEBA,75.83,49,2000-01-12T00:00:00Z
embalses,S29,GUADALTEBA,75.78,49,2000-01-13T00:00:00Z
embalses,S29,GUADALTEBA,75.83,49,2000-01-14T00:00:00Z
embalses,S29,GUADALTEBA,75.97,50,2000-01-15T00:00:00Z
embalses,S29,GUADALTEBA,76.02,50,2000-01-16T00:00:00Z
embalses,S29,GUADALTEBA,76.16,50,2000-01-17T00:00:00Z
embalses,S29,GUADALTEBA,76.25,50,2000-01-18T00:00:00Z
embalses,S29,GUADALTEBA,76.4,50,2000-01-19T00:00:00Z
embalses,S29,GUADALTEBA,76.59,50,2000-01-20T00:00:00Z
embalses,S29,GUADALTEBA,76.78,50,2000-01-21T00:00:00Z
embalses,S29,GUADALTEBA,76.87,50,2000-01-22T00:00:00Z
embalses,S29,GUADALTEBA,76.97,50,2000-01-23T00:00:00Z
embalses,S29,GUADALTEBA,77.02,50,2000-01-24T00:00:00Z
embalses,S29,GUADALTEBA,77.11,50,2000-01-25T00:00:00Z
embalses,S29,GUADALTEBA,77.31,50,2000-01-26T00:00:00Z
embalses,S29,GUADALTEBA,77.64,51,2000-01-27T00:00:00Z
embalses,S29,GUADALTEBA,77.74,51,2000-01-28T00:00:00Z
embalses,S29,GUADALTEBA,77.83,51,2000-01-29T00:00:00Z
embalses,S29,GUADALTEBA,77.93,51,2000-01-30T00:00:00Z
embalses,S29,GUADALTEBA,78.03,51,2000-01-31T00:00:00Z
embalses,S29,GUADALTEBA,78.13,51,2000-02-01T00:00:00Z
embalses,S29,GUADALTEBA,78.27,51,2000-02-02T00:00:00Z
embalses,S29,GUADALTEBA,78.42,51,2000-02-03T00:00:00Z
embalses,S29,GUADALTEBA,78.56,51,2000-02-04T00:00:00Z
embalses,S29,GUADALTEBA,78.66,51,2000-02-05T00:00:00Z
embalses,S29,GUADALTEBA,78.71,51,2000-02-06T00:00:00Z
embalses,S29,GUADALTEBA,78.76,51,2000-02-07T00:00:00Z
embalses,S29,GUADALTEBA,78.81,51,2000-02-08T00:00:00Z
embalses,S29,GUADALTEBA,78.9,51,2000-02-09T00:00:00Z
embalses,S29,GUADALTEBA,78.95,52,2000-02-10T00:00:00Z
embalses,S29,GUADALTEBA,79,52,2000-02-11T00:00:00Z
embalses,S29,GUADALTEBA,79.1,52,2000-02-12T00:00:00Z
embalses,S29,GUADALTEBA,79.19,52,2000-02-13T00:00:00Z
embalses,S29,GUADALTEBA,79.29,52,2000-02-14T00:00:00Z
embalses,S29,GUADALTEBA,79.34,52,2000-02-15T00:00:00Z
embalses,S29,GUADALTEBA,79.39,52,2000-02-16T00:00:00Z
embalses,S29,GUADALTEBA,79.49,52,2000-02-17T00:00:00Z
embalses,S29,GUADALTEBA,79.54,52,2000-02-18T00:00:00Z
embalses,S29,GUADALTEBA,79.59,52,2000-02-19T00:00:00Z
embalses,S29,GUADALTEBA,79.64,52,2000-02-20T00:00:00Z
embalses,S29,GUADALTEBA,79.68,52,2000-02-21T00:00:00Z
embalses,S29,GUADALTEBA,79.49,52,2000-02-22T00:00:00Z
embalses,S29,GUADALTEBA,79.29,52,2000-02-23T00:00:00Z
embalses,S29,GUADALTEBA,79.34,52,2000-02-24T00:00:00Z
embalses,S29,GUADALTEBA,79,52,2000-02-25T00:00:00Z
embalses,S29,GUADALTEBA,79,52,2000-02-26T00:00:00Z
embalses,S29,GUADALTEBA,79,52,2000-02-27T00:00:00Z
embalses,S29,GUADALTEBA,79.05,52,2000-02-28T00:00:00Z
embalses,S29,GUADALTEBA,79.05,52,2000-02-29T00:00:00Z
embalses,S29,GUADALTEBA,78.9,51,2000-03-01T00:00:00Z
embalses,S29,GUADALTEBA,78.9,51,2000-03-02T00:00:00Z
embalses,S29,GUADALTEBA,78.9,51,2000-03-03T00:00:00Z
embalses,S29,GUADALTEBA,78.9,51,2000-03-04T00:00:00Z
embalses,S29,GUADALTEBA,78.71,51,2000-03-05T00:00:00Z
embalses,S29,GUADALTEBA,78.61,51,2000-03-06T00:00:00Z
embalses,S29,GUADALTEBA,78.47,51,2000-03-07T00:00:00Z
embalses,S29,GUADALTEBA,78.47,51,2000-03-08T00:00:00Z
embalses,S29,GUADALTEBA,78.37,51,2000-03-09T00:00:00Z
embalses,S29,GUADALTEBA,78.37,51,2000-03-10T00:00:00Z
embalses,S29,GUADALTEBA,78.17,51,2000-03-11T00:00:00Z
embalses,S29,GUADALTEBA,77.98,51,2000-03-12T00:00:00Z
embalses,S29,GUADALTEBA,77.79,51,2000-03-13T00:00:00Z
embalses,S29,GUADALTEBA,77.64,51,2000-03-14T00:00:00Z
embalses,S29,GUADALTEBA,77.16,50,2000-03-15T00:00:00Z
embalses,S29,GUADALTEBA,77.02,50,2000-03-16T00:00:00Z
embalses,S29,GUADALTEBA,76.78,50,2000-03-17T00:00:00Z
embalses,S29,GUADALTEBA,76.54,50,2000-03-18T00:00:00Z
embalses,S29,GUADALTEBA,76.3,50,2000-03-19T00:00:00Z
embalses,S29,GUADALTEBA,76.06,50,2000-03-20T00:00:00Z
embalses,S29,GUADALTEBA,76.11,50,2000-03-21T00:00:00Z
embalses,S29,GUADALTEBA,75.78,49,2000-03-22T00:00:00Z
embalses,S29,GUADALTEBA,75.83,49,2000-03-23T00:00:00Z
embalses,S29,GUADALTEBA,75.87,49,2000-03-24T00:00:00Z
embalses,S29,GUADALTEBA,75.92,50,2000-03-25T00:00:00Z
embalses,S29,GUADALTEBA,75.92,50,2000-03-26T00:00:00Z
embalses,S29,GUADALTEBA,75.97,50,2000-03-27T00:00:00Z
embalses,S29,GUADALTEBA,75.97,50,2000-03-28T00:00:00Z
embalses,S29,GUADALTEBA,76.02,50,2000-03-29T00:00:00Z
embalses,S29,GUADALTEBA,76.02,50,2000-03-30T00:00:00Z
embalses,S29,GUADALTEBA,76.06,50,2000-03-31T00:00:00Z
embalses,S29,GUADALTEBA,76.06,50,2000-04-01T00:00:00Z
embalses,S29,GUADALTEBA,76.06,50,2000-04-02T00:00:00Z
embalses,S29,GUADALTEBA,76.11,50,2000-04-03T00:00:00Z
embalses,S29,GUADALTEBA,76.3,50,2000-04-04T00:00:00Z
embalses,S29,GUADALTEBA,76.35,50,2000-04-05T00:00:00Z
embalses,S29,GUADALTEBA,76.4,50,2000-04-06T00:00:00Z
embalses,S29,GUADALTEBA,76.21,50,2000-04-07T00:00:00Z
embalses,S29,GUADALTEBA,76.3,50,2000-04-08T00:00:00Z
embalses,S29,GUADALTEBA,76.44,50,2000-04-09T00:00:00Z
embalses,S29,GUADALTEBA,76.54,50,2000-04-10T00:00:00Z
embalses,S29,GUADALTEBA,76.73,50,2000-04-11T00:00:00Z
embalses,S29,GUADALTEBA,76.87,50,2000-04-12T00:00:00Z
embalses,S29,GUADALTEBA,76.97,50,2000-04-13T00:00:00Z
embalses,S29,GUADALTEBA,77.16,50,2000-04-14T00:00:00Z
embalses,S29,GUADALTEBA,77.26,50,2000-04-15T00:00:00Z
embalses,S29,GUADALTEBA,77.55,51,2000-04-16T00:00:00Z
embalses,S29,GUADALTEBA,78.08,51,2000-04-17T00:00:00Z
embalses,S29,GUADALTEBA,78.56,51,2000-04-18T00:00:00Z
embalses,S29,GUADALTEBA,78.81,51,2000-04-19T00:00:00Z
embalses,S29,GUADALTEBA,79.15,52,2000-04-20T00:00:00Z
embalses,S29,GUADALTEBA,79.34,52,2000-04-21T00:00:00Z
embalses,S29,GUADALTEBA,79.59,52,2000-04-22T00:00:00Z
embalses,S29,GUADALTEBA,79.88,52,2000-04-23T00:00:00Z
embalses,S29,GUADALTEBA,80.08,52,2000-04-24T00:00:00Z
embalses,S29,GUADALTEBA,80.22,52,2000-04-25T00:00:00Z
embalses,S29,GUADALTEBA,80.42,52,2000-04-26T00:00:00Z
embalses,S29,GUADALTEBA,80.57,53,2000-04-27T00:00:00Z
embalses,S29,GUADALTEBA,80.82,53,2000-04-28T00:00:00Z
embalses,S29,GUADALTEBA,80.92,53,2000-04-29T00:00:00Z
embalses,S29,GUADALTEBA,81.11,53,2000-04-30T00:00:00Z
embalses,S29,GUADALTEBA,81.26,53,2000-05-01T00:00:00Z
embalses,S29,GUADALTEBA,81.66,53,2000-05-02T00:00:00Z
embalses,S29,GUADALTEBA,81.91,53,2000-05-03T00:00:00Z
embalses,S29,GUADALTEBA,82.06,54,2000-05-04T00:00:00Z
embalses,S29,GUADALTEBA,82.21,54,2000-05-05T00:00:00Z
embalses,S29,GUADALTEBA,82.41,54,2000-05-06T00:00:00Z
embalses,S29,GUADALTEBA,82.67,54,2000-05-07T00:00:00Z
embalses,S29,GUADALTEBA,82.82,54,2000-05-08T00:00:00Z
embalses,S29,GUADALTEBA,83.07,54,2000-05-09T00:00:00Z
embalses,S29,GUADALTEBA,83.32,54,2000-05-10T00:00:00Z
embalses,S29,GUADALTEBA,83.52,54,2000-05-11T00:00:00Z
embalses,S29,GUADALTEBA,83.72,55,2000-05-12T00:00:00Z
embalses,S29,GUADALTEBA,83.98,55,2000-05-13T00:00:00Z
embalses,S29,GUADALTEBA,84.08,55,2000-05-14T00:00:00Z
embalses,S29,GUADALTEBA,84.23,55,2000-05-15T00:00:00Z
embalses,S29,GUADALTEBA,84.03,55,2000-05-16T00:00:00Z
embalses,S29,GUADALTEBA,84.08,55,2000-05-17T00:00:00Z
embalses,S29,GUADALTEBA,84.18,55,2000-05-18T00:00:00Z
embalses,S29,GUADALTEBA,84.28,55,2000-05-19T00:00:00Z
embalses,S29,GUADALTEBA,84.08,55,2000-05-20T00:00:00Z
embalses,S29,GUADALTEBA,84.18,55,2000-05-21T00:00:00Z
embalses,S29,GUADALTEBA,84.23,55,2000-05-22T00:00:00Z
embalses,S29,GUADALTEBA,84.33,55,2000-05-23T00:00:00Z
embalses,S29,GUADALTEBA,84.44,55,2000-05-24T00:00:00Z
embalses,S29,GUADALTEBA,84.54,55,2000-05-25T00:00:00Z
embalses,S29,GUADALTEBA,84.33,55,2000-05-26T00:00:00Z
embalses,S29,GUADALTEBA,84.23,55,2000-05-27T00:00:00Z
embalses,S29,GUADALTEBA,84.08,55,2000-05-28T00:00:00Z
embalses,S29,GUADALTEBA,83.88,55,2000-05-29T00:00:00Z
embalses,S29,GUADALTEBA,83.72,55,2000-05-30T00:00:00Z
embalses,S29,GUADALTEBA,83.78,55,2000-05-31T00:00:00Z
embalses,S29,GUADALTEBA,83.67,55,2000-06-01T00:00:00Z
embalses,S29,GUADALTEBA,83.57,55,2000-06-02T00:00:00Z
embalses,S29,GUADALTEBA,83.32,54,2000-06-03T00:00:00Z
embalses,S29,GUADALTEBA,83.12,54,2000-06-04T00:00:00Z
embalses,S29,GUADALTEBA,82.92,54,2000-06-05T00:00:00Z
embalses,S29,GUADALTEBA,82.82,54,2000-06-06T00:00:00Z
embalses,S29,GUADALTEBA,82.67,54,2000-06-07T00:00:00Z
embalses,S29,GUADALTEBA,82.56,54,2000-06-08T00:00:00Z
embalses,S29,GUADALTEBA,82.46,54,2000-06-09T00:00:00Z
embalses,S29,GUADALTEBA,82.26,54,2000-06-10T00:00:00Z
embalses,S29,GUADALTEBA,81.96,53,2000-06-11T00:00:00Z
embalses,S29,GUADALTEBA,81.61,53,2000-06-12T00:00:00Z
embalses,S29,GUADALTEBA,81.36,53,2000-06-13T00:00:00Z
embalses,S29,GUADALTEBA,81.17,53,2000-06-14T00:00:00Z
embalses,S29,GUADALTEBA,80.87,53,2000-06-15T00:00:00Z
embalses,S29,GUADALTEBA,80.62,53,2000-06-16T00:00:00Z
embalses,S29,GUADALTEBA,80.47,52,2000-06-17T00:00:00Z
embalses,S29,GUADALTEBA,80.22,52,2000-06-18T00:00:00Z
embalses,S29,GUADALTEBA,79.98,52,2000-06-19T00:00:00Z
embalses,S29,GUADALTEBA,79.83,52,2000-06-20T00:00:00Z
embalses,S29,GUADALTEBA,79.68,52,2000-06-21T00:00:00Z
embalses,S29,GUADALTEBA,79.59,52,2000-06-22T00:00:00Z
embalses,S29,GUADALTEBA,79.39,52,2000-06-23T00:00:00Z
embalses,S29,GUADALTEBA,79.24,52,2000-06-24T00:00:00Z
embalses,S29,GUADALTEBA,79.1,52,2000-06-25T00:00:00Z
embalses,S29,GUADALTEBA,78.81,51,2000-06-26T00:00:00Z
embalses,S29,GUADALTEBA,78.61,51,2000-06-27T00:00:00Z
embalses,S29,GUADALTEBA,78.42,51,2000-06-28T00:00:00Z
embalses,S29,GUADALTEBA,78.03,51,2000-06-29T00:00:00Z
embalses,S29,GUADALTEBA,77.74,51,2000-06-30T00:00:00Z
embalses,S29,GUADALTEBA,77.55,51,2000-07-01T00:00:00Z
embalses,S29,GUADALTEBA,77.31,50,2000-07-02T00:00:00Z
embalses,S29,GUADALTEBA,77.07,50,2000-07-03T00:00:00Z
embalses,S29,GUADALTEBA,76.68,50,2000-07-04T00:00:00Z
embalses,S29,GUADALTEBA,76.4,50,2000-07-05T00:00:00Z
embalses,S29,GUADALTEBA,76.02,50,2000-07-06T00:00:00Z
embalses,S29,GUADALTEBA,75.73,49,2000-07-07T00:00:00Z
embalses,S29,GUADALTEBA,75.31,49,2000-07-08T00:00:00Z
embalses,S29,GUADALTEBA,74.88,49,2000-07-09T00:00:00Z
